Nom_Machine,Adresse_IP,Ports_ouverts,Statuts
Non résolu,10.165.1.1,"22, 80, 443","22/closed, 80/closed, 443/closed"
Non résolu,10.165.1.167,"22, 80, 443","22/closed, 80/closed, 443/closed"
Non résolu,10.165.1.235,"22, 80, 443","22/filtered, 80/filtered, 443/filtered"
Non résolu,10.165.1.73,"22, 80, 443","22/filtered, 80/filtered, 443/filtered"
